NroCliente,EstadoCuenta,Edad,Genero,NroDependientes,NivelEducativo,EstadoCivil,IngresosAnual,TipoTarjeta,Antiguedad,NroProductosBanco,MesesInactivos_Ult_Año,Reclamos_Ult_año,CupoMax,Transacciones_Ult_año
715156383,1,44,1,1,1,1,6,1,36,6,2,2,34516.0,29
711013983,0,55,0,4,1,2,3,1,45,2,4,3,2158.0,12
755420433,1,59,0,1,5,2,1,1,52,2,3,3,10133.0,20
794543958,1,53,1,1,5,3,5,1,35,5,4,2,34516.0,27
716396358,1,52,1,2,5,2,4,1,47,5,3,0,3085.0,35
715398033,1,53,1,2,4,4,6,1,35,4,2,1,19040.0,31
711743883,1,43,0,3,2,4,2,1,35,5,2,3,4026.0,32
719720058,1,44,1,3,4,4,4,1,31,4,3,1,12756.0,14
778992108,1,57,1,2,1,2,6,1,45,5,3,3,5266.0,29
717539808,1,51,0,2,4,4,2,1,36,3,2,2,9930.0,21
714070758,1,49,1,4,4,4,5,1,38,4,3,0,31302.0,35
714107958,1,45,1,1,5,4,3,1,36,4,4,3,6576.0,34
789140283,1,53,1,0,5,4,5,1,42,5,4,1,2664.0,29
715550508,1,45,0,3,1,2,1,1,28,5,1,2,2535.0,20
719712633,1,64,1,1,5,2,2,1,52,6,4,3,1709.0,32
772629333,1,45,1,3,5,2,3,1,35,5,4,2,3454.0,30
720336708,1,53,1,3,7,2,3,1,35,5,3,2,3789.0,42
802013583,1,56,1,3,3,2,6,1,50,3,2,0,9689.0,19
711887583,0,47,1,2,1,2,5,1,37,2,3,3,5449.0,18
714778833,1,49,0,3,3,4,1,1,43,4,4,0,23032.0,22
713843283,1,41,0,3,1,2,1,2,34,5,3,3,34516.0,26
779155158,1,53,1,3,5,2,6,1,34,6,2,2,2940.0,33
721091583,1,44,0,2,5,4,2,1,32,3,3,3,3031.0,15
713572683,1,44,1,3,4,1,4,1,25,3,3,0,1862.0,34
716657058,1,43,0,4,6,2,2,1,33,2,3,3,8358.0,37
779509983,1,53,1,2,6,4,6,1,36,6,1,2,34516.0,21
717929133,1,44,1,1,2,2,4,1,36,5,2,3,14450.0,30
808284783,1,62,0,1,1,2,2,1,56,6,0,0,1438.3,44
708476808,1,54,1,4,1,3,6,1,36,6,3,2,33791.0,31
710916408,1,57,1,4,5,2,4,1,39,4,3,0,8466.0,32
708492558,1,42,1,3,1,2,4,1,36,5,3,3,15088.0,21
799825758,1,42,1,4,4,3,4,1,36,5,1,2,3263.0,35
718619883,1,54,0,0,2,2,2,1,36,2,2,2,1494.0,24
711844758,1,48,1,3,5,4,5,1,35,6,1,0,13551.0,37
714798783,1,49,1,1,5,4,5,1,36,6,2,2,18886.0,18
826762908,1,52,1,3,4,1,5,1,48,3,2,0,11976.0,36
771894558,1,50,1,3,4,4,5,1,39,4,1,4,9964.0,25
721074183,1,49,1,1,7,2,4,1,36,4,6,3,24159.0,24
715259583,1,53,0,2,4,2,2,1,44,3,2,3,5362.0,38
718414008,1,50,1,2,5,4,6,1,36,3,2,2,34516.0,13
719666283,1,55,0,1,7,2,2,1,36,4,1,0,3174.0,29
714877233,1,53,1,1,4,2,5,1,47,3,2,2,12262.0,38
785387883,1,47,0,3,4,4,3,1,41,4,3,3,3788.0,47
771075258,1,55,1,2,3,4,6,2,42,2,3,2,34516.0,42
711318033,1,47,1,3,5,4,4,1,36,4,2,2,2926.0,24
783554958,1,58,1,4,5,4,6,1,52,6,1,0,32090.0,30
720201033,0,53,1,2,5,2,5,1,41,3,3,2,11669.0,23
718039683,1,52,1,2,4,4,3,1,45,3,1,2,13532.0,29
710806083,1,50,0,1,2,1,2,2,36,4,2,2,11888.0,30
714752208,1,42,0,1,5,2,2,1,36,5,1,2,2393.0,16
822063408,1,43,1,4,1,2,3,1,39,5,1,2,6111.0,16
714490308,1,57,1,4,5,2,5,1,46,3,2,3,19270.0,28
713356833,1,52,1,1,5,2,5,1,43,3,1,4,3710.0,34
711402333,1,47,1,2,7,4,2,1,37,2,1,3,3235.0,32
708296883,1,44,0,3,5,4,3,1,38,3,1,0,11749.0,27
719154483,1,53,1,2,4,3,4,1,36,5,3,2,7753.0,26
717721458,1,45,1,4,3,3,4,1,40,5,1,0,10408.0,42
711112683,1,63,0,1,3,2,1,1,36,6,2,3,3967.0,29
715674483,1,39,0,2,6,4,2,1,27,4,2,2,6205.0,19
789322833,0,48,0,5,4,2,2,1,38,1,3,3,8025.0,18
789968058,1,51,1,1,1,4,6,1,42,6,2,3,9036.0,18
709919283,1,54,1,4,5,2,5,1,34,2,3,2,14926.0,25
718744008,1,59,0,1,5,4,2,1,36,3,2,3,6335.0,20
767712558,0,59,1,1,3,4,4,1,53,2,3,3,14979.0,10
712950783,0,48,0,4,2,2,2,1,38,3,2,3,2732.0,16
716104983,1,41,0,2,5,4,2,1,32,6,3,2,2250.0,31
818839983,1,55,1,2,5,2,6,1,50,3,2,0,10916.0,34
772288758,1,47,0,4,5,2,1,1,36,4,1,3,5349.0,30
712350858,1,41,1,2,4,2,5,1,24,4,1,3,9366.0,39
711009708,1,40,1,3,4,4,5,1,28,5,1,0,21617.0,22
712720158,1,68,1,1,5,2,1,1,56,5,2,3,13860.0,32
712215258,1,50,0,1,5,4,3,2,31,2,2,3,18386.0,22
773827008,1,47,1,4,2,4,4,1,41,6,2,2,2405.0,29
795232683,1,53,0,1,3,2,2,1,47,4,2,3,2154.0,26
713786508,1,42,0,5,1,2,3,1,36,3,3,3,2038.0,28
713539833,1,48,0,4,4,4,3,1,38,6,1,3,8135.0,29
712454058,1,49,1,1,7,2,6,1,38,6,1,3,9364.0,27
718759833,1,44,0,2,2,2,1,2,35,4,3,2,32643.0,24
718803333,1,43,0,4,5,3,2,1,34,2,3,1,3195.0,29
720253908,1,56,1,0,4,2,5,1,43,5,2,1,2852.0,28
714133158,1,59,0,1,3,4,1,1,36,2,3,3,4224.0,31
713187033,1,46,1,1,2,2,4,1,36,3,2,2,20459.0,38
714791208,1,47,0,4,1,3,2,1,41,6,5,3,3482.0,24
772426383,1,50,0,4,2,2,3,1,40,5,2,3,3065.0,28
710975883,1,51,0,3,2,2,2,1,43,3,1,2,2185.0,30
714264408,1,47,0,3,2,2,2,1,36,4,1,0,1611.0,29
715827858,1,58,0,4,2,2,2,1,47,3,3,3,2822.0,23
713741358,0,46,1,5,5,4,5,1,33,6,3,3,32975.0,17
709531908,1,53,1,3,4,2,4,1,47,5,2,2,1438.3,53
716493408,1,45,0,4,2,3,1,1,36,4,3,3,15875.0,37
714141108,1,52,0,1,4,2,2,1,45,6,3,3,6703.0,28
708953883,0,53,1,2,1,2,5,1,36,2,2,1,3212.0,20
712608783,1,50,1,2,4,2,5,2,45,3,1,3,34516.0,34
820353558,1,41,0,3,4,2,3,1,36,4,1,2,9797.0,34
714964758,1,45,0,5,5,3,3,1,36,5,2,2,10400.0,28
716264358,1,53,1,3,2,2,5,1,42,2,1,2,26792.0,47
717296808,1,67,0,1,5,2,2,1,56,4,3,2,3006.0,32
712977183,1,57,0,2,2,4,3,2,36,6,3,0,19482.0,22
710829108,1,59,0,1,2,2,3,1,36,4,2,3,3356.0,28
779562633,1,45,1,2,2,2,3,1,34,3,2,1,5771.0,18
715315833,1,51,1,3,5,2,5,1,36,6,2,3,11106.0,24
815500983,1,59,0,1,2,2,2,1,54,5,3,0,2890.0,36
719360583,1,53,1,1,5,2,4,1,45,6,2,2,3380.0,25
709701558,1,47,1,3,5,2,4,1,36,2,1,2,21331.0,50
721148358,1,49,0,3,2,4,1,1,38,6,2,1,12860.0,27
779862408,1,49,1,3,6,4,5,1,33,3,1,0,6278.0,33
812627208,1,60,0,0,3,4,2,1,55,5,1,3,1438.3,33
711033408,1,50,0,2,4,2,2,1,36,5,1,2,9355.0,28
779956608,1,41,0,2,6,2,1,1,31,6,1,3,20758.0,32
780376683,1,57,1,1,5,2,5,1,47,5,3,1,14612.0,24
717912483,1,43,1,4,5,1,5,1,27,5,2,0,27259.0,35
714454758,1,57,0,3,5,2,2,1,47,4,2,3,6347.0,37
780466533,1,54,1,3,7,2,6,1,41,3,3,0,21592.0,52
715735233,1,51,0,5,6,2,2,1,44,5,1,1,3449.0,42
720476733,1,47,0,3,4,2,2,1,34,2,1,2,6028.0,22
715872333,1,41,1,0,4,1,6,1,36,3,2,3,18214.0,21
712375758,1,53,1,3,2,2,5,1,43,3,3,1,16393.0,42
708868233,0,68,1,0,4,2,2,1,52,1,3,2,1438.3,21
718030083,1,59,1,1,3,2,4,1,36,4,1,2,7871.0,22
720707283,1,48,1,4,1,2,5,1,36,5,3,0,5288.0,42
771698658,1,44,1,5,5,2,4,1,32,4,5,3,11376.0,27
748326258,1,48,1,3,3,2,5,1,41,4,5,3,12302.0,41
770817783,1,47,1,4,5,2,4,2,33,3,2,1,34516.0,27
779353083,1,47,1,2,5,2,4,2,32,4,2,2,34516.0,32
711441333,1,43,0,1,4,3,2,2,35,3,2,2,10514.0,27
719808558,0,55,0,2,5,2,2,1,43,2,4,3,1438.3,27
711551958,0,59,1,2,6,2,4,1,46,3,3,3,1438.3,24
809164083,1,63,1,1,5,2,3,1,56,2,1,2,2619.0,37
820596183,1,58,1,2,3,2,6,1,53,2,3,0,24407.0,48
715999608,1,53,0,2,4,2,2,1,36,4,1,2,2377.0,26
710565408,1,59,1,0,1,1,5,2,40,3,2,3,34516.0,26
805543158,1,52,1,3,5,2,6,1,47,5,3,3,11086.0,40
709752183,1,48,1,3,4,4,4,1,36,4,2,2,11432.0,37
716479233,1,43,1,4,4,2,3,1,36,5,3,2,13258.0,21
713837058,1,48,1,2,3,4,2,1,36,3,2,3,2571.0,24
718876683,1,43,0,4,5,4,2,1,31,5,2,0,5781.0,32
770746908,1,44,1,4,1,2,4,1,30,5,1,2,7872.0,32
794843883,1,41,1,3,4,2,5,1,35,6,1,2,34516.0,33
803043933,1,44,0,3,2,3,2,2,38,4,1,3,11127.0,25
758076408,1,50,1,2,1,4,3,1,43,2,1,3,1857.0,43
714606558,1,60,0,1,2,2,2,1,36,5,1,0,1913.0,22
778425408,1,44,1,4,5,4,5,1,24,5,3,0,3839.0,24
714171108,1,48,0,3,5,3,3,1,39,6,2,3,2115.0,20
719662458,1,44,0,2,5,3,2,1,27,5,2,2,1438.3,29
713137233,1,41,1,2,4,4,5,1,28,4,3,0,27756.0,24
769425858,1,45,1,3,3,4,4,1,32,4,1,2,1438.3,26
711297483,1,47,0,2,2,3,2,2,34,6,4,2,13878.0,38
788900883,1,51,0,2,5,2,2,1,36,3,1,3,3106.0,38
758348808,1,51,1,2,5,2,6,1,44,4,3,3,34516.0,18
772336458,0,60,0,1,2,2,3,1,50,4,4,3,1438.3,12
708711483,1,57,1,2,1,2,5,1,46,2,3,0,18871.0,21
717906783,1,41,1,5,5,4,6,1,29,5,2,2,5207.0,26
719437908,1,44,1,3,6,3,5,1,36,6,2,2,17965.0,50
769433508,1,43,1,1,3,4,4,1,37,6,3,3,2733.0,25
790096533,1,55,1,2,3,2,4,1,48,4,3,2,8863.0,27
720997383,0,52,1,1,2,2,5,1,36,2,3,3,1857.0,17
787541883,1,44,1,3,5,1,5,1,33,3,3,3,34516.0,27
709930758,1,41,1,2,2,2,3,1,30,5,3,3,11107.0,33
789830058,1,44,1,4,1,4,5,1,34,4,1,2,21573.0,36
710299608,0,53,0,2,1,2,2,1,33,2,3,3,2859.0,30
710741208,1,39,1,2,4,4,5,1,36,4,2,2,5269.0,25
821797008,0,49,1,5,3,2,3,1,45,2,2,3,1438.3,21
708874533,0,45,0,2,3,2,2,1,36,1,3,2,3387.0,24
715341858,1,54,1,2,5,2,5,1,46,6,2,3,1982.0,49
793636308,1,49,1,3,2,4,5,1,43,2,2,2,4645.0,33
713779908,1,46,0,3,7,4,1,1,36,6,3,2,2189.0,36
712125258,0,46,1,4,4,2,6,1,30,3,3,3,2442.0,19
709703433,1,47,1,3,5,2,4,1,38,4,1,2,21304.0,25
721022433,1,44,1,2,7,4,4,1,36,5,1,2,7577.0,35
710103558,1,50,1,3,6,4,6,1,31,4,1,2,3234.0,28
715952883,1,73,1,0,4,2,3,1,36,5,3,2,4469.0,34
719731458,1,56,1,3,1,1,3,1,46,6,3,4,2910.0,27
772390908,0,59,1,0,4,4,3,1,48,2,4,3,3616.0,17
787348608,1,70,1,0,4,2,2,1,56,3,2,3,3252.0,15
709485033,1,55,0,2,4,2,2,1,36,4,3,3,2358.0,26
715432608,1,43,1,4,1,4,4,1,36,4,1,0,22322.0,34
799471833,1,45,1,1,2,4,6,1,39,4,2,2,3133.0,38
714187533,1,45,0,2,2,4,3,1,35,2,3,0,3540.0,28
779656908,1,40,1,1,5,2,3,1,23,6,3,2,6990.0,29
788950158,1,36,1,2,3,1,5,1,22,2,2,3,34516.0,39
778867533,0,59,0,0,6,2,3,1,40,1,4,1,1438.3,23
710620383,1,43,1,4,1,2,4,1,35,6,3,2,24396.0,17
778661358,1,46,0,1,1,2,2,1,36,2,3,2,2474.0,40
789483333,1,41,1,2,2,2,3,1,32,5,1,3,5214.0,23
809855808,1,51,0,2,5,2,2,1,46,5,2,2,5207.0,20
718464258,1,51,0,3,1,1,2,1,25,2,2,2,9512.0,22
708528483,1,43,0,4,5,3,1,1,23,6,3,2,3187.0,33
771809733,0,64,0,0,4,2,3,1,53,1,3,3,3353.0,18
719942883,1,54,1,5,5,2,4,1,38,3,3,3,2290.0,18
807226683,1,48,1,3,1,4,3,1,43,6,1,3,5279.0,41
717806133,1,40,1,2,2,3,4,1,29,5,3,0,23603.0,31
720615708,1,57,1,0,2,2,3,1,45,6,2,2,2601.0,32
714511758,1,45,1,4,5,4,5,1,40,4,3,0,6363.0,16
715050408,1,41,1,3,4,4,5,1,36,4,3,3,8029.0,32
721132233,1,42,0,4,2,2,2,1,31,2,2,2,2410.0,30
719211558,0,45,1,2,5,4,4,1,36,1,1,2,3401.0,18
712069008,1,42,0,4,2,2,2,1,23,4,2,0,2260.0,33
715996983,1,47,1,4,2,3,5,1,30,5,2,2,17682.0,31
773466258,1,48,0,4,4,2,3,1,42,3,1,3,4206.0,22
798983508,1,43,1,1,5,4,5,2,37,4,3,2,34516.0,34
719117433,1,41,1,4,4,1,5,1,36,4,3,0,23018.0,24
716451183,1,54,0,1,2,2,3,1,44,5,2,3,5556.0,21
718621608,0,54,0,2,4,2,1,1,44,3,3,1,6094.0,14
715085733,1,61,1,0,5,2,3,1,52,3,1,2,2939.0,33
788977833,1,61,1,0,2,2,5,1,48,2,1,0,5362.0,41
720272958,0,48,1,2,4,2,6,1,36,3,3,3,27126.0,25
708421833,1,45,0,4,5,4,2,1,36,6,3,2,3342.0,30
709173108,0,54,0,4,5,2,1,1,40,6,2,2,2532.0,21
709879458,1,54,0,3,7,2,1,1,46,2,2,3,1900.0,45
715120608,1,44,1,3,5,4,4,1,37,2,3,2,14546.0,27
770632758,1,50,0,4,7,4,1,1,36,2,3,2,2521.0,33
779078733,1,55,1,2,7,2,4,1,36,3,4,3,16427.0,36
771742533,1,48,1,2,5,1,3,1,36,5,1,2,13068.0,28
720250158,1,45,1,2,3,4,4,1,33,6,3,0,23218.0,37
716458983,1,60,1,0,4,2,3,1,36,5,1,3,3281.0,29
713747733,1,55,1,2,4,2,3,1,47,5,3,2,3096.0,41
712270158,1,62,0,0,4,2,3,1,52,5,2,3,2052.0,31
789562383,1,38,0,1,4,1,2,1,30,2,3,0,1438.3,24
754897008,1,46,1,3,4,4,3,1,39,2,3,2,9432.0,26
819700533,1,50,1,0,4,4,6,2,45,5,2,3,14938.0,27
712890408,1,45,1,2,2,2,4,1,36,5,3,2,2221.0,30
720248208,1,47,1,3,6,3,4,1,37,6,3,0,5731.0,26
779749908,1,48,1,4,3,2,4,3,33,2,2,3,34516.0,32
717401883,1,35,1,3,2,2,4,1,22,5,2,2,6985.0,44
721509558,1,51,1,2,5,2,6,1,42,3,3,0,24221.0,40
710572458,1,36,0,3,4,2,1,1,24,4,1,1,15439.0,43
714576183,1,47,1,4,5,4,5,1,36,6,3,2,21637.0,23
721425558,1,52,1,2,5,4,6,1,37,2,3,2,14543.0,37
711109908,1,43,0,4,2,2,2,1,36,2,1,1,9684.0,31
715203108,1,63,1,2,4,2,3,1,36,2,2,2,5007.0,28
710027508,1,61,1,0,5,2,4,1,54,3,2,0,1616.0,33
787464408,1,53,1,2,2,4,4,1,40,5,2,2,19116.0,29
783542133,1,53,0,3,5,2,2,1,47,5,6,2,2759.0,42
708330858,0,57,1,3,5,2,6,1,38,2,3,3,8249.0,11
714426783,1,38,0,2,5,4,1,1,31,2,3,2,14041.0,29
712701333,1,53,1,3,4,2,4,1,43,5,3,2,5264.0,27
709494483,1,63,0,0,1,2,2,1,54,4,2,1,2420.0,36
773373108,1,49,0,4,4,2,2,1,43,4,2,0,2826.0,28
715812258,1,45,1,2,4,2,5,1,34,5,5,2,12518.0,33
778286433,1,67,1,0,5,2,3,1,56,4,2,1,5876.0,55
789270033,1,48,1,3,5,4,5,2,37,3,2,3,34516.0,13
711569433,1,51,0,2,2,3,2,1,38,4,1,2,9648.0,22
720214833,1,52,1,2,4,4,5,2,40,3,3,3,34516.0,23
709346133,1,55,0,2,2,2,1,1,35,3,3,0,3025.0,23
788194458,1,34,1,3,4,2,4,1,26,4,3,3,3265.0,35
720779733,1,56,1,1,2,2,6,1,36,3,2,2,6041.0,49
717424458,1,44,0,2,6,2,2,1,36,3,3,2,2293.0,22
708820308,1,47,1,3,6,1,5,1,36,6,2,2,13399.0,31
710558058,1,46,0,3,1,2,2,1,38,4,3,3,4317.0,36
770590758,1,43,0,3,5,4,3,1,29,5,2,0,3378.0,16
718490658,1,50,0,1,5,4,2,1,36,4,1,3,5012.0,28
711985833,1,38,0,4,2,4,2,1,30,4,1,0,2569.0,46
708967608,1,53,0,1,5,4,2,1,45,3,1,2,3471.0,24
718505958,1,43,1,5,5,3,6,2,31,5,3,3,34516.0,38
715024233,1,53,1,1,4,2,6,1,36,6,3,2,3312.0,32
779249583,1,56,0,1,5,2,2,1,38,4,3,3,2578.0,29
709278258,0,54,1,2,1,2,3,1,44,4,3,2,2902.0,26
778928283,1,57,0,3,4,2,2,1,39,3,2,1,2742.0,32
712299858,1,62,1,1,4,2,2,1,53,5,3,3,2077.0,38
799224108,1,46,0,4,5,4,2,1,40,5,1,2,6265.0,43
809976033,1,49,1,2,2,2,4,1,44,6,3,0,7819.0,25
716203308,1,52,1,3,5,4,5,1,42,6,3,3,2731.0,22
714871683,0,58,1,1,2,2,3,1,36,2,4,3,1438.3,13
716139933,1,54,1,0,4,2,5,1,36,3,1,2,16286.0,49
716984658,1,49,1,1,5,2,6,1,39,3,2,3,34516.0,31
713086008,1,58,0,3,4,2,2,1,47,6,1,0,2609.0,34
713773458,1,52,1,2,4,4,4,1,45,5,3,2,7567.0,32
719242533,1,41,1,5,4,2,4,1,33,5,3,3,22770.0,38
772712658,1,62,0,0,2,2,2,1,50,5,1,2,3791.0,34
788868858,1,54,1,2,5,2,2,1,39,4,4,2,2702.0,32
811898133,1,40,0,3,4,3,2,1,35,3,1,3,2555.0,32
788808633,1,43,1,3,5,2,5,1,26,5,3,2,2355.0,29
779804208,1,53,0,2,5,4,3,1,42,6,2,0,5332.0,39
781391058,1,55,1,1,2,4,3,1,49,6,3,2,1443.0,38
790134408,1,46,1,4,5,4,4,1,39,6,2,3,10741.0,22
788853258,1,41,1,1,2,2,4,1,25,3,2,0,7984.0,39
711857733,1,49,1,3,2,4,4,1,32,3,2,2,18584.0,34
822969858,1,61,0,0,5,2,1,1,56,4,1,3,5585.0,31
719554758,1,46,1,2,2,2,5,1,38,6,3,2,34516.0,32
711643458,1,50,0,1,2,2,2,1,43,6,3,4,1438.3,41
788830683,1,40,1,2,5,4,5,1,24,5,1,0,2478.0,31
807030858,1,51,1,4,4,4,6,1,46,6,3,3,34516.0,47
793059108,1,50,0,2,5,2,3,1,44,6,2,3,2339.0,22
716568708,1,47,0,2,5,2,2,1,36,6,3,2,2726.0,27
828281733,1,43,1,4,1,2,6,1,39,3,3,3,14881.0,23
717229158,1,36,0,4,5,2,3,1,36,6,3,3,1628.0,15
715915458,1,47,0,2,5,2,2,1,34,5,2,2,3156.0,31
819129858,1,46,0,2,5,4,2,1,41,5,3,0,4745.0,31
713441958,1,46,1,2,4,2,6,1,36,5,3,2,19727.0,25
719091333,1,52,1,0,2,2,4,1,36,3,3,2,22720.0,27
708666258,1,43,1,4,1,2,3,1,36,5,3,0,8129.0,33
714914583,1,40,0,4,5,4,2,1,27,6,2,3,3751.0,30
714363858,1,54,0,4,4,2,2,1,36,3,5,3,1594.0,35
721347408,1,55,0,1,4,4,2,1,43,4,2,0,2569.0,39
809608533,1,49,0,4,6,4,1,1,44,6,3,2,18206.0,48
772047183,1,45,1,4,4,2,3,1,34,6,3,3,3104.0,24
714217908,1,49,1,3,5,2,3,1,41,5,3,2,2406.0,32
714819183,1,63,1,1,2,2,5,1,36,5,2,3,24571.0,28
716455683,1,40,0,3,4,4,2,3,36,3,2,3,15534.0,28
710865633,1,41,0,2,5,2,2,2,33,4,2,0,12301.0,29
752952108,1,37,1,4,5,2,5,1,26,6,2,3,2846.0,37
712595433,1,58,1,2,2,1,6,1,49,6,2,3,9788.0,37
714982383,1,55,1,2,4,2,4,1,36,4,3,3,7231.0,23
813814008,1,53,0,1,4,2,2,1,48,6,3,2,2324.0,37
794545983,1,57,1,2,5,2,5,1,40,3,2,3,12208.0,34
708288108,0,43,1,4,6,1,5,1,30,2,5,3,5639.0,15
715585158,1,58,1,1,5,2,4,1,46,3,3,2,10021.0,25
810449883,1,64,1,0,1,2,2,1,56,6,1,0,2215.0,27
789863208,1,54,0,2,5,2,2,1,44,3,2,3,2027.0,37
715022133,1,53,1,2,5,2,4,1,47,6,2,2,6363.0,26
712506708,1,39,0,3,3,4,2,1,25,6,1,2,3920.0,53
